date,ship_type_id,estimated_hull_value,n_materials_total,n_materials_priced,losses,pct_value_priced
2011-01-01,2998,48866372.76,7,7,26,1
2011-01-01,3766,217465.45,7,7,27,1
2011-01-01,11129,6167.16,1,1,35,1
2011-01-01,11132,6167.16,1,1,30,1
2011-01-01,11134,6167.16,1,1,35,1
2011-01-01,11172,10371261.85,11,11,20,1
2011-01-01,11174,10924964.59,12,12,2,1
2011-01-01,11176,10622984.3,12,12,52,1
2011-01-01,11178,10628880.3,12,12,7,1
2011-01-01,11182,11793807.08,11,11,20,1
2011-01-01,11184,10696175.51,12,12,30,1
2011-01-01,11186,10707967.51,12,12,25,1
2011-01-01,11188,10662026.91,11,11,33,1
2011-01-01,11190,11432381.87,11,11,11,1
2011-01-01,11192,10712496.85,11,11,46,1
2011-01-01,11194,11540774.71,11,11,1,1
2011-01-01,11196,11710317.92,12,12,19,1
2011-01-01,11198,11724485.92,12,12,37,1
2011-01-01,11200,9848724.95,12,12,60,1
2011-01-01,11202,9848724.95,12,12,16,1
2011-01-01,11365,13879436.83,12,12,18,1
2011-01-01,11371,16559965.79,11,11,26,1
2011-01-01,11377,10794820.64,11,11,52,1
2011-01-01,11379,13966221.6,11,11,28,1
2011-01-01,11381,14725026.01,11,11,15,1
2011-01-01,11387,12700360.05,11,11,3,1
2011-01-01,11393,14524188.83,12,12,7,1
2011-01-01,11400,15600930.79,11,11,44,1
2011-01-01,11567,30201849570.72,15,12,2,0.8
2011-01-01,11957,104031522.96,11,11,40,1
2011-01-01,11959,104073521.07,11,11,10,1
2011-01-01,11961,116681678.11,11,11,7,1
2011-01-01,11963,116642693.11,11,11,42,1
2011-01-01,11965,102998655.1,11,11,20,1
2011-01-01,11969,98629689.9,11,11,17,1
2011-01-01,11971,98666086.35,11,11,14,1
2011-01-01,11978,111918331.42,11,11,18,1
2011-01-01,11985,102820225.55,11,11,11,1
2011-01-01,11987,101467308.18,11,11,18,1
2011-01-01,11989,96849757.37,11,11,7,1
2011-01-01,11993,108259802.21,11,11,19,1
2011-01-01,11995,167681865.68,11,11,7,1
2011-01-01,11999,123111611.09,11,11,82,1
2011-01-01,12003,108980294.74,11,11,29,1
2011-01-01,12005,100961871.17,11,11,39,1
2011-01-01,12011,113507042.24,11,11,1,1
2011-01-01,12013,185389117.9,11,11,12,1
2011-01-01,12015,127475768.85,11,11,9,1
2011-01-01,12017,165159341.28,11,11,7,1
2011-01-01,12019,113693339.04,11,11,7,1
2011-01-01,12021,156467653.37,11,11,9,1
2011-01-01,12023,104537945.65,11,11,6,1
2011-01-01,12032,11377860.07,12,12,111,1
2011-01-01,12034,12388777.07,11,11,78,1
2011-01-01,12038,11244353.78,11,11,61,1
2011-01-01,12042,13729198.68,12,12,33,1
2011-01-01,12044,12867385.13,12,12,15,1
2011-01-01,12235,177475284.85,9,9,4,1
2011-01-01,12237,10528783.2,6,6,11,1
2011-01-01,12729,67597014.51,11,11,9,1
2011-01-01,12731,106031693.35,11,11,2,1
2011-01-01,12733,66987207.54,11,11,6,1
2011-01-01,12735,75238332.04,11,11,10,1
2011-01-01,12743,63330432.34,11,11,16,1
2011-01-01,12745,98622038.28,11,11,3,1
2011-01-01,12747,119911451.12,11,11,2,1
2011-01-01,13780,24311661.18,8,8,1,1
2011-01-01,14343,2493168.32,5,5,17,1
2011-01-01,16213,177475284.85,9,9,2,1
2011-01-01,16214,177475284.85,9,9,5,1
2011-01-01,16216,43649720.07,9,9,8,1
2011-01-01,16221,11092942.68,5,5,7,1
2011-01-01,16227,31661956.45,7,7,25,1
2011-01-01,16229,30425904.82,6,6,45,1
2011-01-01,16231,27441347.95,6,6,27,1
2011-01-01,16233,26783019.58,6,6,9,1
2011-01-01,16236,591775.73,6,6,32,1
