ship_type_id,total_losses,type_name
368580,7,'Tash Murkon' Sentinel A-I
369409,7,Standard Assault C-I
356111,6,'Valor' Logistics M-I
356112,6,'Raven' Logistics M-I
364105,6,Recruit Militia Frame
365708,6,'Pyrus' Assault gk.0
366492,6,State Logistics C/1-Series
366678,6,'Neo' Sentinel M/1-Series
366733,6,Amarr Light Frame ak.0
367693,6,APEX 'Kampo' Logistics
367701,6,APEX 'Hawk' Scout
367987,6,APEX 'Atlas' Sentinel vX.1
368585,6,'Roden' Commando G-I
34151,5,Rattlesnake Victory Edition
356617,5,'Neo' Assault C/1-Series
365945,5,'Greyscale' Saga
365971,5,'Neo' Scout A-I
366680,5,'Neo' Sentinel G-I
367651,5,'Quafe' Sentinel A-I
367656,5,'Quafe' Scout C-I
367679,5,APEX 'Atlas' Sentinel
367707,5,APEX 'Dragon' Scout
367709,5,APEX 'Samurai' Commando
367715,5,APEX 'Paladin' Commando
368518,5,CreoDron Methana vX.1
368532,5,'Quafe' Madrugar
368577,5,'Tash Murkon' Logistics A-I
368620,5,State Sentinel ck.0
368885,5,Marduk Gv.0
368891,5,Gladius Cv.0
368914,5,Shield AV - MN
369415,5,Standard Commando M-I
356619,4,'Neo' Assault C-I
356620,4,'Neo' Scout G/1-Series
356622,4,'Neo' Scout G-I
364246,4,CreoDron Transport Dropship
365324,4,'Neo' Scout M-I
365325,4,'Neo' Scout M/1-Series
365944,4,'Nullarbor' Myron
366382,4,Federation Grimsnes
366384,4,Federation Methana
366416,4,Imperial Commando A/1-Series
366735,4,Caldari Light Frame ck.0
367657,4,'Quafe' Scout A-I
368531,4,'Quafe' Gunnlogi
368638,4,Republic Commando M-I
368890,4,Gladius C/1
1916,3,Concord SWAT Battleship
356015,3,'Primordial' Militia Caldari Medium Frame
356059,3,'Quafe' Scout G-I
365307,3,'Neo' Logistics A/1-Series
365316,3,'Neo' Assault A/1-Series
366509,3,State Saga
368584,3,'Roden' Scout G-I
368586,3,State Scout C-I
368640,3,Republic Commando M/1-Series
368650,3,Republic Sentinel M/1-Series
369421,3,Standard Scout C-I
34441,2,Dominix Quafe Edition
355423,2,Onikuma - Impact
356077,2,'LG-88' Methana
363349,2,Balac's Modified Assault ck.0
364096,2,'CQC' Scout G-I
364322,2,Master Recruiter Assault C-II
365306,2,'Neo' Logistics A-I
365312,2,'Neo' Logistics C-I
365322,2,'Neo' Assault M/1-Series
365993,2,'Origin' Assault C-I
366723,2,'Neo' Commando M/1-Series
368524,2,Imperial Scout A-I
368534,2,'Quafe' Myron
368549,2,'Quafe' Logistics C-I
368551,2,'Quafe' Logistics M-I
368555,2,'Quafe' Commando M-I
368583,2,'Kaalakiota' Scout C-I
368615,2,State Commando C-I
368616,2,State Commando C/1-Series
368631,2,Federation Commando G-I
369413,2,Standard Commando C-I
369427,2,Standard Sentinel M-I
11019,1,Cockroach
16217,1,Small Auxiliary Power Array
35781,1,Fiend
356024,1,'Venom' Militia Amarr Heavy Frame
356106,1,'Valor' Assault C-I
356113,1,'Raven' Scout G-I
364095,1,'Raider' Scout G-I
364121,1,CreoDron Methana
364319,1,Senior Recruiter Assault C-I
365420,1,'LC-225' Saga-II
365975,1,'Neo' Scout C/1-Series
365994,1,'Origin' Logistics M-I
366340,1,'Imperial Guard' Assault A/1-Series
366507,1,State Myron
366720,1,'Neo' Commando G/1-Series
367650,1,'Quafe' Sentinel C-I
368533,1,'Quafe' Grimsnes
368539,1,'Quafe' Methana
368552,1,'Quafe' Commando A-I
368554,1,'Quafe' Commando G-I
368574,1,Imperial Scout A/1-Series
368576,1,'Brutor' Logistics M-I
368594,1,State Scout C/1-Series
368619,1,State Sentinel C/1-Series
369408,1,Standard Assault A-I
369410,1,Standard Assault G-I
369411,1,Standard Assault M-I
369425,1,Standard Sentinel C-I
