date,modeled_baseline_payout,modeled_adjusted_payout,insurance_net_isk
2018-04-26,91887719191.59,87728799361.746,45509030209
2018-04-27,137393748993.96,131466391539.738,116711735019
2018-04-28,135587110251.49,130570520300.302,64677058852
2018-04-29,126255188436.24,120756434010.026,158611900092
2018-04-30,135852361226.34,131561781971.519,91879215359
2018-05-01,160751731136.76,155694935625.26,115894847835
2018-05-02,218851561059.77,213511540084.045,105565256423
2018-05-03,432504420578.28,426483155065.246,76215216071
2018-05-04,154695775295.39,149106104249.993,89951462496
2018-05-05,135273636092.59,129580798673.785,143047078971
2018-05-06,189947726113.04,184208986590.077,307811607957
2018-05-07,152343081054.77,147812510960.234,68606680625
2018-05-08,140227147393.99,133890481050.88,67053611691
2018-05-09,132321557497.97,125988281806.942,85880923730
2018-05-10,105403115842.91,102297488210.96,48383961543
2018-05-11,116853597723.13,110121561365.774,80358353912
2018-05-12,212259234109.47,206241551941.75,162682398123
2018-05-13,150969837122.63,144664275079.479,96333188055
2018-05-14,248500002467.37,241937258436.385,47472806796
2018-05-15,270883222883.65,266367992596.153,69472017016
2018-05-16,196758567084.05,190601055980.728,86301186889
2018-05-17,263738392744.47,256689803974.258,118000186329
2018-05-18,148857209859.95,142754289844.865,121563394483
2018-05-19,173770746355.27,167967997645.232,130140776222
2018-05-20,381371769065.23,374960436350.084,654956661266
2018-05-21,223624193802.11,218210215688,172562522550
2018-05-22,199598109024.63,192600368629.616,114796310557
2018-05-23,307140416612.04,301175107474.387,108473704936
2018-05-24,384217181429.8,351792513791.411,94641568813
2018-05-25,130579804321.25,123396224700.61,92215327716
2018-05-26,228911532102.14,222744962659.514,119313220305
2018-05-27,243718351309.96,238125190112.297,107031525085
2018-05-28,159221697174.5,152877324266.797,82428220777
2018-05-29,250616787393.26,244292131242.968,137005113396
2018-05-30,134567050521,129858917167.689,94054715583
2018-05-31,130877466101.57,124933072632.593,85550147513
2018-06-01,407913226200.04,402240211304.843,84362291402
2018-06-02,149458318293.35,145040964980.986,200146760744
2018-06-03,130082855608.52,124989390046.327,152702697478
2018-06-04,184233794348.42,179176439650.659,101791587808
2018-06-05,108331525772.09,104610428111.241,71952306737
2018-06-06,182205437340.7,176480704096.801,75877419297
2018-06-07,249211067656.64,243442535922.422,96966972939
2018-06-09,200887093127.77,195672514256.477,164157173882
2018-06-10,154914138200.67,148794921330.685,157431098575
2018-06-11,180997550322.82,171500321966.079,83962486171
2018-06-12,132134076874.54,123392974463.441,102607550006
2018-06-13,141132482419.14,132383232322.213,128057535469
2018-06-14,121482040000.68,112139923552.383,61942010105
2018-06-15,96326738071.85,87204116403.5355,109388669387
2018-06-16,174393923632.59,169470220669.587,147494284719
2018-06-17,212923324309.1,206950860356.253,101248161325
2018-06-18,118934695264.2,113200879069.646,42023864733
2018-06-19,129009355905.6,123370690710.569,52925507367
2018-06-20,180885608672.27,175060469837.342,131227905550
2018-06-21,89500461307.3,84774348347.06,70472204956
2018-06-22,110823082067.82,105998318700.999,95211154409
2018-06-23,273291546508.36,267743476574.329,125254725665
2018-06-24,128363031583.43,123570517833.998,112202679946
2018-06-25,119142448878.86,115512806275.329,75177560164
2018-06-26,192482817107.54,186539495350.709,80368790346
2018-06-27,115681750295.03,110054323453.293,39342274452
2018-06-28,106458018937.58,102061710336.072,5456695778
2018-06-29,152077377409.84,146322239577.983,75970147011
2018-06-30,216561179424.34,211138216457.522,101259050948
2018-07-01,101065158023.57,96684368882.406,78547049208
2018-07-02,128960304611.11,123213104100.988,89942069214
2018-07-03,157136337385.52,151297994224.487,70205612207
2018-07-04,155430720405.65,149609458504.37,66511887124
2018-07-05,100207446952.56,95417983779.9005,31947512812
2018-07-06,146353094192.98,141590259901.113,88648247007
2018-07-07,120079408111.64,115053993550.118,124990844410
2018-07-08,125231445017.78,119923959136.305,130041249280
2018-07-09,87518817448.34,82620577690.01,75161849822
2018-07-10,117705296641.95,112449413793.688,35347601921
2018-07-11,205003780027.41,201063293035.87,17629363805
2018-07-12,122738841018.1,118034067032.273,-36491459577
2018-07-13,167730469696.07,143032088166.256,87680253458
2018-07-14,315521009199.03,311220662114.817,-89422920740
2018-07-15,312597887978.97,308257640394.014,127247947211
2018-07-16,97540861421.72,91243619832.9245,37763661549
2018-07-17,79016449432.82,72933030320.5875,70630184737
2018-07-18,79608058036.28,73562746514.1975,18334134478
2018-07-19,426799586114.16,421889727807.022,130571954797
2018-07-20,147975813344.08,142664342716.911,18969273894
2018-07-21,138869439356.86,133123312382.611,136986503964
2018-07-22,154979862640.6,150574993711.566,195987828290
2018-07-23,212757696845.59,207569786183.169,105966228355
2018-07-24,178175442696.2,172959830888.298,120926592362
2018-07-25,197625339123.32,194546795395.098,85674904908
2018-07-26,118830322579.02,113725771852.216,69159735195
2018-07-27,331582601200.37,327296414984.781,134702114884
2018-07-28,442198484218.29,437531513677.356,133335879995
2018-07-29,107285889690.33,102781309766.425,115068127012
2018-07-30,80195696375.99,74917255315.3555,49471702634
2018-07-31,128651314187.68,123598742287.242,86072652007
2018-08-01,626806939367.23,621732578145.157,161024084957
2018-08-02,309472307334.19,305026136815.447,508554924578
2018-08-03,118982460045.66,114489017121.66,92545175079
2018-08-04,156722641589.54,152152492711.679,124009284601
2018-08-05,153310444945.83,148468080472.932,168247217501
2018-08-06,105860292429.47,101583109289.713,50149200783
2018-08-07,240486300108.88,235776200584.92,99486427003
2018-08-08,503571413437.96,497990923684.317,-222595784135
2018-08-09,159621412187.62,154579765943.521,122181831878
2018-08-10,190446163358.96,184829150758.507,107737258349
2018-08-11,163078424051.22,157401230854.263,71776004374
2018-08-12,186883020135.33,181217384003.458,116126778203
2018-08-13,141948846976.38,136661133377.028,87408938798
2018-08-14,110677900258.02,105429368998.814,70362711485
2018-08-15,155959189975.43,150670789494.35,68914713859
2018-08-16,102283804456.1,96170936680.9205,92189449768
2018-08-17,153067900948.7,147399092799.732,74527711160
2018-08-18,140482149851.02,135555293696.831,109253232592
2018-08-19,141949917652.37,112147660842.914,140461748436
2018-08-20,188999959513.39,184042179857.378,118971671584
2018-08-21,86383861480.44,80949263163.035,114840789364
2018-08-22,143032768320.07,137871203595.517,118206496068
2018-08-23,193591735629.52,188225783592.955,114469471410
2018-08-24,122944592557.88,117352052270.078,126441527965
2018-08-25,169513382613.72,163868675564.595,138878202393
2018-08-26,180059215909.28,175432221378.839,198316877175
2018-08-27,133441166805.56,127958428074.815,71255865250
2018-08-28,121112443999.85,116562600054.105,48916210153
2018-08-30,185358115773.93,180926107317.832,89674428477
2018-08-31,105227411602.02,100840035721.887,103352764815
2018-09-01,118629548206.11,113892267112.904,136590937788
2018-09-03,339380596376.04,334951323195.249,87398673386
2018-09-04,156149042148.78,150635075127.972,60637674963
2018-09-06,86080540116.29,81902354700.7215,76851957056
2018-09-07,106497896976.16,102691128587.103,74164919635
2018-09-08,168402058749.33,142912489548.717,153090089253
2018-09-09,115634911833.63,109748270097.275,100538274732
2018-09-10,119246775441.81,114041175808.804,144670375172
2018-09-11,130050308054.85,124497536211.74,73840906549
2018-09-12,510620379213.62,478779594926.85,114857463236
2018-09-13,103868072125.45,99089525658.0345,92457875072
2018-09-14,57458086575.68,52356417056.578,61628902635
2018-09-15,132652714816.03,127527246855.216,131584067622
2018-09-16,202677437638.81,198645691864.6,164311448061
2018-09-17,120145338913.72,116697589727.653,104795780923
2018-09-18,298107085921.25,294333559643.097,51640331091
2018-09-19,369308349774.62,364952152660.855,78466301535
2018-09-20,221967804503.34,217432047119.346,185776610914
2018-09-21,121380067807.14,115703270519.434,128828308090
2018-09-22,171012873494.32,166892308444.443,203820842198
2018-09-23,147175628029.39,141526208760.542,210030351357
2018-09-24,141125980145.76,135312949261.148,67048919032
2018-09-25,98688782003.96,94534245684.33,89239091502
2018-09-26,117153834969.11,110930777444.993,87340584255
2018-09-27,141779428300.17,138086920978.805,89148483232
2018-09-28,97046715454.7,91762045998.7335,86582559545
2018-09-29,139695988321.5,135649474651.141,127967734956
2018-09-30,334495004519.21,330598979738.773,146580144617
2018-10-01,224854793046.94,220472952210.9,94471071410
2018-10-02,183604668316.17,177906727690.595,122170343497
2018-10-03,85755325637.83,81642969553.827,122085642350
2018-10-04,73716291578.35,69063900359.807,149862349017
2018-10-05,125991850409.39,120607103539.354,92915123140
2018-10-06,252916759932.33,248628919774.586,157073298800
2018-10-07,197551889669.28,192670621787.927,172046909535
2018-10-08,99790614618.79,93386447824.989,107567927880
2018-10-09,89346256282.89,85758433643.1575,83257913109
2018-10-10,279321503436.56,275413857929.31,178051877726
2018-10-11,105468519858.33,101090953720.357,51441173980
2018-10-12,90725472554.89,85948176825.406,100316459386
2018-10-13,180926433532.07,176247825650.885,86002743311
2018-10-14,96878944392.03,92068359491.927,110516230259
2018-10-15,76357650314.93,71707715234.661,76466807797
2018-10-16,110154025458.18,105681000953.051,74597211998
2018-10-17,153917573507.05,148692695020.346,67816733342
2018-10-18,118136776900.22,113246312344.247,99683828546
2018-10-19,130263934817.32,125991498119.689,93236707700
2018-10-20,204566676593.4,198902164344.635,112824343047
2018-10-21,119926689974.83,115375277035.105,91282215731
2018-10-22,165891719130.78,159971875910.835,93544396582
2018-10-23,180883149869.95,176884247269.319,100596219460
2018-10-24,137065998864.58,134168828737.792,78712120583
2018-10-25,156228069572.65,152043541332.735,96412927653
2018-10-26,129538149309.08,123974056771.349,103972390388
2018-10-27,396352897008.01,391322353110.141,118900141909
2018-10-28,182596842910.28,178818479125.897,197786109400
2018-10-29,119566703117.67,115529269746.51,146631979927
2018-10-31,181723580130.49,176946932984.054,138343928742
2018-11-01,171166453937.39,149494588787.455,158914303442
2018-11-02,132163978331.27,127690622407.588,128128382015
2018-11-03,216401766669.84,211793081175.982,215218723998
2018-11-04,148503325203.8,144618910825.728,257375158044
2018-11-05,175361662783.01,171020456533.17,116205734258
2018-11-06,93708584835.99,89140378567.2455,95906473202
2018-11-07,123640202290.34,118599176869.759,97499979435
2018-11-08,335924766740.93,330663857940.333,189519363065
2018-11-09,152597619746.57,124384720555.28,125757845765
2018-11-10,115883107039.76,111455572172.855,167137093688
2018-11-11,175899797264.61,171616018554.171,186615444091
2018-11-12,219220927977.22,214729722205.467,111240915465
2018-11-13,97832215486.54,92946287036.3165,106279944737
2018-11-14,159186522137.44,154482304291.398,68754667365
2018-11-15,176374168273.83,171476312497.586,96797610111
2018-11-16,86914270783.76,82376042362.4795,120986107442
2018-11-17,180365596657.11,175329648178.494,147591189566
2018-11-18,85571478455.66,81313530905.2295,158955623911
2018-11-19,476710271504.24,472037643587.986,85776456314
2018-11-20,156044145839.99,153197638291.583,78462107744
2018-11-21,114476930150.83,109052926961.271,130643902466
2018-11-22,124341597903.74,118938859565.008,95119776703
2018-11-23,117292736086.25,113292231698.266,80321400429
2018-11-24,140679911699.74,134701488467.146,205548032458
2018-11-25,195905832054.8,190211651642.378,150453454204
2018-11-26,99720123883.97,93708725275.4775,60908503084
2018-11-27,91955600584.93,87987219387.7145,92113032728
2018-11-28,235414817526.76,207741127248.794,127599268378
2018-11-29,115036611033.73,109678475743.102,73272996819
2018-11-30,117681493860.27,112143203366.154,156927777114
2018-12-02,150155144316.29,146222113057.302,170260152377
2018-12-03,154548660371.24,150671342337.992,50196166354
2018-12-04,120746306418.92,117420768790.386,61074874818
2018-12-05,95465232174.11,91065336553.868,100403495331
2018-12-06,92138332840.94,87833461880.556,83709748822
2018-12-07,98065296642.89,94416190902.933,116765479583
2018-12-08,228371810063.52,224429820043.849,162891106522
2018-12-09,136783206278.45,131135531094.121,107389763739
2018-12-10,120648386017.44,115404366321.152,111732565884
2018-12-11,221336866932.22,217037406276.856,205714085719
2018-12-12,306003768187.98,302299326699.989,142910956987
2018-12-13,141589123786.48,137685904288.917,170552261032
2018-12-14,74676627972.86,70850025488.107,109242222128
2018-12-15,422015126915.44,418372153068.436,179269436508
2018-12-16,212974240728.33,208423896825.717,167179680035
2018-12-17,156384429166.84,152202635456.791,153787606073
2018-12-18,88456378858.53,84500855461.621,199724054550
2018-12-19,84569934140.54,80455126395.009,51568013167
2018-12-20,222276389526.85,217910733469.426,102995110891
2018-12-21,102861252081.56,98203114016.9015,136145019902
2018-12-22,316380102153.93,311790284616.911,162856234454
2018-12-23,130603873694.78,126136586512.375,132686468256
2018-12-24,109032307851.81,104650207461.495,77572193756
2018-12-25,138846007842.7,134379769896.045,84318149183
2018-12-26,112926105567.91,107773695679.166,69953287205
2018-12-27,292169011139.25,287647957147.328,75393413339
2018-12-28,90093131799.8,85973524929.568,77755208488
2018-12-29,152077676560.36,146747992787.708,76420109847
2018-12-30,170665693929.72,165574150176.174,106504983755
2018-12-31,118798979063.18,113476385353.36,112289865367
2019-01-01,109730289727.45,104509974372.264,100896796443
2019-01-02,125036251590.71,120023593959.774,115027935741
2019-01-03,159182676446.78,154321611455.034,57358306773
2019-01-04,173736818582.34,168964224415.959,71066550828
2019-01-05,132296995355.78,127499143739.96,123026790274
2019-01-06,117791603492.42,113883915287.791,124773380270
2019-01-07,104846325882.41,100728709301.373,118304897937
2019-01-08,109197496558.33,105287493010.498,62607280522
2019-01-09,114345649790.36,111510531839.249,72367659233
2019-01-10,142757710504.11,112136859052.714,116649851235
2019-01-11,78699563532.94,75307990966.111,79786780404
2019-01-12,175009776804.3,170427530948.136,166935651787
2019-01-13,185325250694.07,181534913965.194,155132722318
2019-01-14,192860757163.93,189157360018.987,53708020328
2019-01-15,110636609440.97,106650022384.744,49924435344
2019-01-16,147019884730.25,118493686655.422,342238570367
2019-01-17,106742439815.15,102765922848.018,79583104884
2019-01-18,99049358881.89,95287243602.29,97982960638
2019-01-19,104890785912.07,100622910920.965,112404806843
2019-01-20,178810705134.38,173924713432.953,152997717849
2019-01-21,117468271483.02,112343114174.035,104174171152
2019-01-22,100986115852.33,96460552619.0185,68490081147
2019-01-23,354086310826.35,349710245071.827,75269137479
2019-01-24,253073975672.51,248384907878.614,69433299558
2019-01-25,92610248573.36,87504026290.4885,54336859963
2019-01-26,177778075626.58,172712930534.574,105226299117
2019-01-27,197421281078.7,193250145898.448,119535551647
2019-01-28,102385057187.51,78892705379.415,97696742133
2019-01-29,227442079677.29,223460336249.971,118577047464
2019-01-30,132236115784.83,130389048736.321,53507356084
2019-01-31,122515812068.1,118302237229.475,81742128995
2019-02-01,74559156347.55,70657051625.1905,55631027995
2019-02-02,111281412272.29,107363317217.96,144242455801
2019-02-03,149495636142.3,144958276856.763,145678357875
2019-02-04,103914805009.51,99383740968.9325,49338359538
2019-02-05,95654761876.88,91339088027.986,71420598700
2019-02-06,140205463938.92,135853047127.778,114989565302
2019-02-07,88057893651.2,84101556772.127,67403664949
2019-02-08,98709484555.45,94457448244.195,67393495548
2019-02-09,116538872343.01,112623362471.234,114969184532
2019-02-10,111433101972.15,86071697331.72,91367944340
2019-02-11,102141475214.13,98168073099.274,78050434955
2019-02-12,145236086965.58,141119370985.995,100908192330
2019-02-14,148538747244.03,116479789518.385,83536785705
2019-02-15,160021908430.03,155453357122.129,83626585736
2019-02-16,146969102148.13,142442127113.625,143283623352
2019-02-17,146311662558.99,142008392352.198,161126510824
2019-02-18,145180425382.47,140881879004.659,61229204147
2019-02-19,94433391988.75,90215961737.9415,63309066991
2019-02-20,147212528338.5,143070637065.69,89169459864
2019-02-21,106945863839.67,102990181903.524,45719130639
2019-02-22,102152237848.51,98527021642.2575,79644639516
2019-02-23,109852026112.73,106216574217.341,119001275415
2019-02-24,218657726210.36,214895014029.531,172242908152
2019-02-25,157658655975.29,153610520268.35,55228853048
2019-02-26,140778105728.1,136964917055.913,87448107274
2019-02-27,148399961883.56,144063583730.042,87673423330
2019-02-28,169565371934.23,164733309515.154,70270212777
2019-03-01,159830821644.66,155390346898.542,73262284454
2019-03-02,127630785985.24,123001848296.548,146426747092
2019-03-03,254568998545.84,249946697544.549,145761179770
2019-03-04,97349919468.34,94396539797.853,68177934550
2019-03-05,117068927637.02,112802734427.831,99257900514
2019-03-06,125578118418.93,121577795330.216,68697465647
2019-03-07,194698775409.24,190411614491.97,69955754662
2019-03-08,95723765881.92,91295487701.898,82446010794
2019-03-09,124931581223.1,120788912821.334,130997528432
2019-03-10,132782508382.57,127949560257.637,91036556322
2019-03-11,89353580956.32,85655295754.336,40573081091
2019-03-12,103086260478.44,98538511725.838,74663354711
2019-03-13,99955418089.33,95180309325.8235,24515122175
2019-03-14,105992377176.79,101200641338.731,158017487410
2019-03-15,101129705961.34,96876056183.8845,76200184756
2019-03-16,243086237347.29,238645289493.824,128307940276
2019-03-17,95895541249.9,91556845488.643,73286136367
2019-03-18,216495081503.44,211787177568.044,115268103479
2019-03-19,95267313276.82,90456894017.2285,64746679375
2019-03-20,66415017304.03,61639466813.2715,46487522926
2019-03-21,92096322856.81,87471465749.4075,51357079762
2019-03-22,76029951089.28,71847525741.783,87831922120
2019-03-23,119779825562.11,115021170955.217,163231971254
2019-03-24,199789428535.5,195045451851.78,161656058067
2019-03-25,117788229635.34,113098960830.631,80695179614
2019-03-26,171460609989.83,165132853401.077,46562151546
2019-03-27,95950381944.54,91417783045.8385,38020068329
2019-03-28,145535644920.65,138028887182.935,78030702486
2019-03-29,124990347362.95,117726237781.835,50819930326
2019-03-30,197329107620.38,193580970990.824,143606874082
2019-03-31,95092811338.98,91220020929.613,93486448768
2019-04-01,85586148778.18,81688977380.638,56281870570
2019-04-02,116083006335.21,111550617039.76,76961306142
2019-04-03,198588500874.65,195431523163.544,34833966977
2019-04-04,130679554887.22,126500303718.736,44472990384
2019-04-05,217968477747.79,214272612211.464,132766209872
2019-04-06,150088906805.52,145243901135.552,125126683882
2019-04-07,122369509997.04,117925409181.615,33753557656
2019-04-08,140607881349.43,136077665629.414,41107771458
2019-04-09,94658047396.95,89984095554.4495,62805389487
2019-04-10,104929069658.52,101465745186.455,61469663572
2019-04-11,102688012942.93,99487269875.5845,55837166430
2019-04-12,73346087774.2,69330688147.078,128509255600
2019-04-13,139030398769.2,134072238070.887,131545376973
2019-04-14,200025853687.95,194945803556.841,39525467386
2019-04-15,70591974415.65,66203628070.5925,35215806654
2019-04-16,79448447530.54,74690777589.0195,32724731623
2019-04-17,128265356815.12,123275984263.593,57767734842
2019-04-18,103967391368.29,99184666802.808,66480998369
2019-04-19,114623294166.34,110422708355.756,73805208046
2019-04-20,195347928023.06,190693937063.862,79788557924
2019-04-21,93247011893.35,89032064039.3215,64713402434
2019-04-22,115254490326.63,111125963687.264,50803925081
2019-04-23,79141677079.32,76121733112.655,37247185000
2019-04-24,351386272365.89,346875954823.129,78201156176
2019-04-25,95228479308.39,91150523506.047,41175919639
2019-04-26,55288525926.29,51416740587.0725,73292765972
2019-04-27,118812027953.25,114119031418.384,84329707807
2019-04-28,118133537375.66,113042874106.463,88574545009
2019-04-29,205918278121.14,200777266315.59,48954050268
2019-04-30,117186718956.61,111927456471.314,65269787305
2019-05-01,57827790010.98,53616912377.9395,39412834562
2019-05-02,83858392449.86,80172274996.414,60381686242
2019-05-03,137970348997.28,132811585879.977,57029237055
2019-05-04,162100951239.25,157451109220.254,110491187152
2019-05-05,116802188489.76,113131204521.11,91699772408
2019-05-06,88825058031.86,83962156682.3655,72602467686
2019-05-07,107907124367.29,103850224432.793,78493364509
2019-05-08,72233466828.38,68445961266.083,61521648921
2019-05-09,109358535854.61,106329140694.842,41101731938
2019-05-10,172191072191.5,167749378598.124,90773344056
2019-05-11,255222703502.86,249140484514.085,116935076802
2019-05-12,83117939953.85,79565881297.808,70381744943
2019-05-13,90606249369.26,86688019340.412,50409109066
2019-05-14,83221032954.72,79672216411.637,51250105614
2019-05-15,115927181126.51,111421025115.341,41427209018
2019-05-16,134713901415.93,130416295451.361,51080322908
2019-05-17,101559082645.73,97276537159.0235,77589269732
2019-05-18,108308696140.93,103753955388.586,60515691065
2019-05-19,255908922108.63,250937617640.566,86038226997
2019-05-20,91724898713.58,88461109958.1555,26599375965
2019-05-21,127960376105.57,122653496476.259,14020702790
2019-05-22,89954360340.04,84966788203.6625,44143128242
2019-05-23,95334001857.67,91401910099.219,58307735513
2019-05-24,106639296534.69,102132816375.375,29014281242
2019-05-25,161233306432.23,154934202226.016,101573073774
2019-05-26,181868276647.35,177216918508.624,119191179741
2019-05-27,114592588285.1,110617555154.434,48638972640
2019-05-28,130367755814.63,124870861295.261,54494476563
2019-05-29,109047728548.7,103736754181.086,72652139829
2019-05-30,131742847554.69,125886146759.743,40272826852
2019-05-31,235738728006.96,229864789768.609,99931017822
2019-06-01,120829169617.37,116954008975.081,144768141366
2019-06-02,177904274250.74,173829925497.151,100546531436
2019-06-03,120347224740.84,116163637440.751,85216052115
2019-06-04,116559805573.43,112402108869.956,63528801476
2019-06-05,185716586840.13,181668297081.196,50639435997
2019-06-06,107472993962.56,103290163117.336,39407704893
2019-06-07,128314888330.58,124022476372.866,56762446998
2019-06-08,123015462107.36,118741598353.433,72709396072
2019-06-09,200519295967.66,196495315850.077,88941657948
2019-06-10,104999388831.66,100622926099.801,47971194610
2019-06-11,322338261824.71,317987314610.774,125563377142
2019-06-12,216565560112.39,212050270790.242,96757875000
2019-06-13,100188338485.39,96882244619.4275,1292590686
2019-06-14,191304494735.41,186448586240.324,66538270230
2019-06-15,130329925517.91,125411754708.099,70100192811
2019-06-16,183420295729.44,178061472290.983,74419267981
2019-06-17,120103119413.69,114610349909.454,64854737219
2019-06-18,368463183921.87,364331400775.263,53747282744
2019-06-19,94961682861.34,91921097142.9195,45453448038
2019-06-20,137364848748.16,133791541768.998,37897799146
2019-06-21,117689225129.07,112389226755.083,60464766676
2019-06-22,167889966884.58,162804520270.836,79604517940
2019-06-23,174327872432.42,168874196496.072,89009060432
2019-06-24,110055912340.17,104703847936.414,71903589412
2019-06-25,363742919058.77,359064086531.825,57551373353
